Parent-Region,Region,SQL unique_name,time to 75% daily utility in weeks,time to 25% daily utility in weeks,Aver. cost per week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,Safety from crime,nature & wildlife,hiking,beach,watersports,entertainment,wintersports,culture,culinary,cities & architecture,shopping,Reference,Note
Indonesia,Sumatra and Java,IDN_SU,2,16,400,--,-,o,o,++,++,++,++,+,o,-,--,+,+,+,o,+,o,--,+,o,+,o,,
Indonesia,Bali and Lombok,IDN_BA,1,8,400,--,--,-,o,+,++,++,++,++,+,o,-,+,+,o,+,+,o,--,o,o,o,-,,
Indonesia,Indonesian islands west of Lombok,IDN_RE,2,16,400,--,--,-,o,+,++,++,++,++,+,o,-,+,+,-,o,o,-,--,o,o,--,--,,
Southeast Asia,Philippines,PHL,2,12,375,+,++,++,++,o,-,--,--,--,-,-,o,o,o,o,+,+,o,--,+,o,-,-,,
Asia,East Asia,,1,8,450,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
East Asia,China,,1,4,450,o,o,o,o,o,o,o,o,o,o,o,o,+,o,o,o,o,o,o,o,o,o,o,http://wikitravel.org/en/China#Regions,
China,China Northeast (Liaoning to Heilongjiang),CHN_NE,1,4,450,--,--,--,-,o,+,++,+,+,o,--,--,o,o,-,-,--,-,o,-,o,-,o,,
China,China North (Beijing region),CHN_NO,1,4,450,--,--,-,o,+,++,+,++,++,+,-,--,o,o,-,-,-,+,-,+,o,+,+,,
China,China Northwest (Shaanxi to Xinjiang),CHN_NW,1,4,500,--,--,-,o,+,++,++,++,o,o,--,--,o,o,-,--,--,-,--,o,o,-,-,,
China,China Southwest (Guangxi to Tibet),CHN_SW,1,8,500,--,-,o,+,++,++,+,+,++,+,-,--,o,+,+,--,--,o,-,+,+,-,-,,
China,China South-central (Sichuan to Anhui),CHN_SC,1,4,450,-,-,o,+,++,+,+,+,++,+,o,-,o,o,o,--,--,o,-,o,+,o,o,,
China,"China Southeast (Hainan to Fujian, incl. Hong Kong)",CHN_SE,1,12,450,o,o,+,++,o,o,+,+,++,++,+,o,o,+,o,+,+,+,--,o,o,++,++,,
China,China East (Shanghai region),CHN_EA,1,4,450,-,-,o,+,++,+,+,+,++,+,o,-,o,+,o,o,o,+,--,+,o,++,++,,
East Asia,Taiwan,TWN,1,6,510,-,o,++,++,++,-,--,--,++,++,++,o,++,+,+,+,-,o,--,+,o,+,+,,
East Asia,Japan,JPN,1,12,560,-,o,++,++,++,o,-,-,++,++,+,-,++,+,+,o,-,+,o,+,o,++,+,,
East Asia,South Korea,KOR,1,8,490,-,-,-,+,+,o,o,o,+,++,+,-,+,+,+,-,-,o,-,+,o,+,+,,
East Asia,North Korea,PRK,1,2,450,-,-,-,+,+,o,o,o,+,++,+,-,o,-,--,--,--,--,--,o,--,-,--,,
East Asia,Mongolia,MNG,2,12,350,--,--,-,o,+,++,o,o,++,+,o,--,+,o,o,--,--,-,-,o,o,--,-,,
Asia,Central Asia,,1,8,350,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
Central Asia,Uzbekistan and Turkmenistan,UZB,1,8,350,--,-,o,o,++,++,+,+,++,++,+,--,o,o,o,--,--,-,o,o,o,o,-,,
Central Asia,Kyrgyzstan and Tajikistan,KGZ,1,8,350,--,-,o,o,+,++,++,++,+,o,-,--,o,+,-,--,--,--,--,-,o,--,--,,
Central Asia,Kazakhstan,KAZ,1,8,350,--,--,--,-,+,+,+,+,+,-,--,--,o,-,--,--,--,--,--,o,-,-,-,,
Central Asia,Afghanistan,AFG,1,8,350,--,--,-,+,+,o,-,o,+,+,o,--,--,-,-,--,--,-,--,o,o,-,-,,
Oceania,Australia,,1,16,560,o,o,o,o,o,o,o,o,o,o,o,o,+,o,o,o,o,o,o,o,o,o,o,,
Australia,Australia West,AUS_WE,2,16,560,o,o,++,+,o,-,-,o,++,++,++,o,+,+,+,+,+,o,--,o,-,-,o,http://wikitravel.org/en/Australia#Regions,Western Australia
Australia,Australia Northeast,AUS_NE,1,16,560,-,-,-,-,o,+,+,++,++,++,+,o,+,+,o,++,++,o,--,o,-,-,o,,"Northern Territory, Queensland"
Australia,Australia South,AUS_SO,1,16,560,o,+,++,++,o,-,-,o,++,++,++,o,+,+,+,+,+,o,--,o,-,o,o,,"South Australia, Tasmania, Victoria, Western Australia"
Oceania,New Zealand,NZL,2,16,490,++,++,++,+,o,-,-,-,-,o,+,++,++,++,+,o,o,o,-,o,o,o,o,,
Oceania,Papua New Guinea,PNG,2,16,750,--,--,--,-,-,+,+,+,+,o,-,--,o,o,+,o,o,o,--,+,o,-,--,,
Oceania,Pacific,,1,4,400,o,o,o,+,+,+,+,+,+,+,+,o,+,o,o,o,o,o,o,o,o,o,o,http://wikitravel.org/en/Oceania#Regions,
Pacific,Micronesia,FSM,1,4,750,o,o,o,+,+,+,+,+,+,+,+,o,+,+,-,++,+,-,--,+,o,--,-,,"Palau, Foed. Mikronesien, Marshall Islands, Nauru, Kiribati, Northern Mariana (USA), Guam (USA), Wake (USA)"
Pacific,Melanesia,SLB,1,4,750,o,o,o,+,+,+,+,+,+,+,+,o,+,+,-,++,+,-,--,+,o,--,-,,"Salomon Islands, Vanuatu, Neukaledonia, Fiji, Norfolk Island"
Pacific,Polynesia,PYF,1,4,800,o,o,o,+,+,+,+,+,+,+,+,o,+,+,-,++,+,o,--,+,o,--,-,,"West of Tonga, Tuvalu. Eg: Cook Islands, Tahiti"
Europe,North Europe,,1,6,400,-,-,-,o,+,++,++,++,+,o,o,-,++,o,o,o,o,o,o,o,o,o,o,,
North Europe,Norway,NOR,1,8,560,-,-,-,o,+,++,++,++,+,o,o,-,++,+,+,--,-,-,+,o,o,-,o,,
North Europe,Finland,FIN,1,6,525,-,-,-,o,+,++,++,++,+,o,o,-,++,+,o,--,-,o,o,o,o,-,o,,
North Europe,Sweden and Denmark,SWE,1,6,525,-,-,-,o,+,++,++,++,+,o,o,-,++,+,o,-,o,o,o,o,o,o,o,,
North Europe,Iceland and Faroe Islands,ISL,1,5,560,-,-,-,o,+,++,++,++,+,o,o,-,++,+,+,--,o,-,-,o,-,-,-,,
Europe,Central Europe,,1,5,400,o,-,o,o,+,++,++,++,++,+,-,o,+,o,o,o,o,o,o,o,o,o,o,,
Central Europe,Germany,DEU,1,8,420,o,-,o,o,+,++,++,++,++,+,-,o,+,o,o,-,-,+,o,+,o,+,o,,
Central Europe,Austria,AUT,1,5,500,+,+,+,o,+,++,++,++,+,o,-,+,+,+,+,--,-,o,++,+,o,+,o,,
Central Europe,Benelux,NLD,1,6,420,o,-,o,o,+,++,++,++,++,+,-,o,+,o,o,-,-,o,-,+,-,+,o,,
Central Europe,Switzerland and Liechtenstein,CHE,1,5,750,+,+,+,o,+,++,++,++,+,o,-,+,+,+,+,--,-,o,++,+,o,+,o,,
Central Europe,France,FRA,1,8,420,o,-,o,o,+,++,++,++,++,+,-,o,+,+,+,+,o,o,o,+,+,+,+,,
Central Europe,Slovenia and Croatia,SVN,1,4,350,o,-,o,o,+,++,++,++,++,+,-,o,+,o,o,+,o,o,-,+,o,+,o,,
Europe,British Islands,,1,4,420,-,-,o,+,++,++,+,+,+,+,o,-,+,o,o,o,o,o,o,o,o,o,o,,
British Islands,Ireland and Northern Ireland,IRL,1,4,420,-,-,o,+,++,++,+,+,+,+,o,-,+,+,o,--,--,o,-,+,o,o,o,,
British Islands,Scotland,GBR_SC,1,4,420,-,-,o,+,++,++,+,+,+,+,o,-,+,o,o,--,--,o,-,+,-,o,o,,
British Islands,England and Wales,GBR_EN,1,4,420,-,-,o,+,++,++,+,+,+,+,o,-,+,o,o,-,--,o,--,+,-,+,+,,
