,Parent_region,Region,SQL_unique_name,Time_to_75__percentage_daily_utility_in_weeks,Time_to_25__percentage_daily_utility_in_weeks,Avg_cost_per_week,January,February,March,April,May,June,July,August,September,October,November,December,Safety from crime,Nature_wildlife,Hiking,Beach,Water_sports,Entertainment,Winter_sports,Culture,Culinary_arts,Cities_architecture,Shopping
141,East_Asia,Japan,JPN,1,12,560,2,3,5,5,5,3,2,2,5,5,4,2,5,4,4,3,2,4,3,4,3,5,4
142,East_Asia,South_Korea,KOR,1,8,490,2,2,2,4,4,3,3,3,4,5,4,2,4,4,4,2,2,3,2,4,3,4,4
143,East_Asia,North_Korea,PRK,1,2,450,2,2,2,4,4,3,3,3,4,5,4,2,3,2,1,1,1,1,1,3,1,2,1
144,East_Asia,Mongolia,MNG,2,12,350,1,1,2,3,4,5,3,3,5,4,3,1,4,3,3,1,1,2,2,3,3,1,2
145,Asia,Central_Asia,,1,8,350,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
146,Central_Asia,Uzbekistan_and_Turkmenistan,UZB,1,8,350,1,2,3,3,5,5,4,4,5,5,4,1,3,3,3,1,1,2,3,3,3,3,2
147,Central_Asia,Kyrgyzstan_and_Tajikistan,KGZ,1,8,350,1,2,3,3,4,5,5,5,4,3,2,1,3,4,2,1,1,1,1,2,3,1,1
148,Central_Asia,Kazakhstan,KAZ,1,8,350,1,1,1,2,4,4,4,4,4,2,1,1,3,2,1,1,1,1,1,3,2,2,2
149,Central_Asia,Afghanistan,AFG,1,8,350,1,1,2,4,4,3,2,3,4,4,3,1,1,2,2,1,1,2,1,3,3,2,2
150,Oceania,Australia,,1,16,560,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
151,Australia,Australia_West,AUS_WE,2,16,560,3,3,5,4,3,2,2,3,5,5,5,3,4,4,4,4,4,3,1,3,2,2,3
152,Australia,Australia_Northeast,AUS_NE,1,16,560,2,2,2,2,3,4,4,5,5,5,4,3,4,4,3,5,5,3,1,3,2,2,3
153,Australia,Australia_South,AUS_SO,1,16,560,3,4,5,5,3,2,2,3,5,5,5,3,4,4,4,4,4,3,1,3,2,3,3
154,Oceania,New_Zealand,NZL,2,16,490,5,5,5,4,3,2,2,2,2,3,4,5,5,5,4,3,3,3,2,3,3,3,3
